着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,調教師,馬主,賞金(万円),race_name,raceID,cource,distance,around,groung_state,weather,houceID,sex,age,hource_weight,weight_diff
1,5,10,ダノンスコーピオン,56,川田将雅,1:32.7,,10-10,33.6,2.5,1,[西] 安田隆行,ダノックス,"4,063.0",第31回アーリントンカップ(G3),202209020711,阪神,1600,右,良,晴,2019103034,牡,3,458,0
2,7,14,タイセイディバイン,56,松若風馬,1:32.8,クビ,6-4,33.9,18.7,7,[西] 高野友和,田中成奉,"1,618.0",第31回アーリントンカップ(G3),202209020711,阪神,1600,右,良,晴,2019101642,牡,3,516,+2
3,1,1,キングエルメス,56,坂井瑠星,1:32.9,3/4,3-4,34.1,9.1,4,[西] 矢作芳人,広尾レース,"1,009.0",第31回アーリントンカップ(G3),202209020711,阪神,1600,右,良,晴,2019105938,牡,3,484,-8
4,6,12,ジュンブロッサム,56,吉田隼人,1:32.9,ハナ,16-17,33.3,5.3,2,[西] 友道康夫,河合純二,600.0,第31回アーリントンカップ(G3),202209020711,阪神,1600,右,良,晴,2019105118,牡,3,466,-6
5,5,9,ディオ,56,岩田望来,1:33.2,1.3/4,10-12,34.0,6.9,3,[西] 辻野泰之,石川達絵,400.0,第31回アーリントンカップ(G3),202209020711,阪神,1600,右,良,晴,2019101609,牡,3,480,+2
6,1,2,トゥードジボン,56,福永祐一,1:33.3,クビ,6-8,34.3,9.3,5,[西] 四位洋文,青山洋一,,第31回アーリントンカップ(G3),202209020711,阪神,1600,右,良,晴,2019104730,牡,3,478,+2
7,4,8,ウナギノボリ,56,和田竜二,1:33.4,3/4,13-14,34.1,72.7,13,[西] 音無秀孝,小田切有一,,第31回アーリントンカップ(G3),202209020711,阪神,1600,右,良,晴,2019107016,牡,3,464,+2
8,3,5,ニシノスーベニア,56,松田大作,1:33.5,クビ,17-17,33.9,131.2,16,[東] 上原博之,西山茂行,,第31回アーリントンカップ(G3),202209020711,阪神,1600,右,良,晴,2019101408,牡,3,514,-8
9,2,4,アスクコンナモンダ,56,藤岡佑介,1:33.5,1/2,6-10,34.4,21.0,8,[西] 中内田充,廣崎利洋ＨＤ,,第31回アーリントンカップ(G3),202209020711,阪神,1600,右,良,晴,2019104642,牡,3,436,0
10,7,13,ヒルノショパン,56,横山典弘,1:33.6,クビ,3-4,34.8,163.1,18,[西] 昆貢,ヒルノ,,第31回アーリントンカップ(G3),202209020711,阪神,1600,右,良,晴,2019103858,牡,3,456,0
11,8,18,カワキタレブリー,56,藤岡康太,1:33.7,1/2,3-3,35.1,61.1,12,[西] 杉山佳明,川島和範,,第31回アーリントンカップ(G3),202209020711,阪神,1600,右,良,晴,2019100153,牡,3,432,0
12,6,11,ドンフランキー,56,池添謙一,1:33.7,アタマ,13-12,34.5,18.5,6,[西] 斉藤崇史,早野誠,,第31回アーリントンカップ(G3),202209020711,阪神,1600,右,良,晴,2019105079,牡,3,574,-2
13,8,17,セルバーグ,56,古川吉洋,1:33.8,1/2,10-8,34.8,151.1,17,[西] 鈴木孝志,桑畑夏美,,第31回アーリントンカップ(G3),202209020711,阪神,1600,右,良,晴,2019106670,牡,3,434,0
14,8,16,ストロングウィル,56,鮫島克駿,1:34.0,1.1/4,6-4,35.2,25.3,9,[西] 橋口慎介,前田晋二,,第31回アーリントンカップ(G3),202209020711,阪神,1600,右,良,晴,2019103358,牡,3,478,-4
15,7,15,ムーンリットナイト,56,浜中俊,1:34.0,クビ,13-14,34.7,55.0,11,[西] 加用正,グリーンファーム,,第31回アーリントンカップ(G3),202209020711,阪神,1600,右,良,晴,2019106925,牡,3,490,+2
16,3,6,メイケイバートン,56,幸英明,1:34.0,ハナ,2-2,35.5,122.0,15,[西] 中竹和也,名古屋競馬,,第31回アーリントンカップ(G3),202209020711,阪神,1600,右,良,晴,2019104818,牡,3,460,-10
17,4,7,デュガ,56,武豊,1:34.3,1.3/4,17-16,34.9,40.3,10,[西] 森秀行,藤田晋,,第31回アーリントンカップ(G3),202209020711,阪神,1600,右,良,晴,2019110102,牡,3,486,-6
18,2,3,ジャスパークローネ,56,岩田康誠,1:35.5,7,1-1,37.0,78.1,14,[西] 森秀行,加藤和夫,,第31回アーリントンカップ(G3),202209020711,阪神,1600,右,良,晴,2019110107,牡,3,488,+8
